,1,2,3,4,5,Trial
1,1.0,0.6589775681495667,0.6991128325462341,0.398232102394104,0.8191108703613281,1
2,0.6589775681495667,1.0,0.7600667476654053,0.5989991426467896,0.6452442407608032,1
3,0.6991128325462341,0.7600667476654053,1.0,0.5083706974983215,0.6184098124504089,1
4,0.398232102394104,0.5989991426467896,0.5083706974983215,1.0,0.3770189583301544,1
5,0.8191108703613281,0.6452442407608032,0.6184098124504089,0.3770189583301544,1.0,1
1,1.0,0.7953546643257141,0.7699148058891296,0.4760586619377136,0.8191108703613281,2
2,0.7953546643257141,1.0,0.8109782934188843,0.48108744621276855,0.8323459625244141,2
3,0.7699148058891296,0.8109782934188843,1.0,0.4964776933193207,0.6916863322257996,2
4,0.4760586619377136,0.48108744621276855,0.4964776933193207,1.0,0.48087528347969055,2
5,0.8191108703613281,0.8323459625244141,0.6916863322257996,0.48087528347969055,1.0,2
1,1.0,0.7198741436004639,0.80308997631073,0.5321139097213745,0.7547947764396667,3
2,0.7198741436004639,1.0,0.8013436794281006,0.5409900546073914,0.7230303287506104,3
3,0.80308997631073,0.8013436794281006,1.0,0.5626290440559387,0.7961246967315674,3
4,0.5321139097213745,0.5409900546073914,0.5626290440559387,1.0,0.5948794484138489,3
5,0.7547947764396667,0.7230303287506104,0.7961246967315674,0.5948794484138489,1.0,3
1,1.0,0.6154474020004272,0.7898880243301392,0.6586872339248657,0.1692211627960205,4
2,0.6154474020004272,1.0,0.6868466138839722,0.7093777060508728,0.261240154504776,4
3,0.7898880243301392,0.6868466138839722,1.0,0.7375718355178833,0.14606136083602905,4
4,0.6586872339248657,0.7093777060508728,0.7375718355178833,1.0,0.38540634512901306,4
5,0.1692211627960205,0.261240154504776,0.14606136083602905,0.38540634512901306,1.0,4
1,1.0,0.7935812473297119,0.7922873497009277,0.37557071447372437,0.1692211627960205,5
2,0.7935812473297119,1.0,0.8234766125679016,0.25433608889579773,0.14871588349342346,5
3,0.7922873497009277,0.8234766125679016,1.0,0.345614492893219,0.15105533599853516,5
4,0.37557071447372437,0.25433608889579773,0.345614492893219,1.0,0.2763368785381317,5
5,0.1692211627960205,0.14871588349342346,0.15105533599853516,0.2763368785381317,1.0,5
1,1.0,0.7639850974082947,0.6814845204353333,0.44671374559402466,0.8191108703613281,6
2,0.7639850974082947,1.0,0.7833490371704102,0.5697805285453796,0.7711976170539856,6
3,0.6814845204353333,0.7833490371704102,1.0,0.6202598810195923,0.6378600597381592,6
4,0.44671374559402466,0.5697805285453796,0.6202598810195923,1.0,0.4215472340583801,6
5,0.8191108703613281,0.7711976170539856,0.6378600597381592,0.4215472340583801,1.0,6
1,1.0,0.6796625852584839,0.4121800661087036,0.5849652290344238,0.1692211627960205,7
2,0.6796625852584839,1.0,0.4519686698913574,0.6855503916740417,0.3083766996860504,7
3,0.4121800661087036,0.4519686698913574,1.0,0.5025855302810669,0.43938955664634705,7
4,0.5849652290344238,0.6855503916740417,0.5025855302810669,1.0,0.3007502555847168,7
5,0.1692211627960205,0.3083766996860504,0.43938955664634705,0.3007502555847168,1.0,7
1,1.0,0.5392999053001404,0.4579659104347229,0.5366267561912537,0.7547947764396667,8
2,0.5392999053001404,1.0,0.5599771738052368,0.5757958889007568,0.4396345913410187,8
3,0.4579659104347229,0.5599771738052368,1.0,0.5476490259170532,0.31721198558807373,8
4,0.5366267561912537,0.5757958889007568,0.5476490259170532,1.0,0.5501179099082947,8
5,0.7547947764396667,0.4396345913410187,0.31721198558807373,0.5501179099082947,1.0,8
1,1.0,0.7810341119766235,0.49569761753082275,0.7418212890625,0.46886372566223145,9
2,0.7810341119766235,1.0,0.569102942943573,0.8326560854911804,0.4060370922088623,9
3,0.49569761753082275,0.569102942943573,1.0,0.6860658526420593,0.5417540073394775,9
4,0.7418212890625,0.8326560854911804,0.6860658526420593,1.0,0.516454815864563,9
5,0.46886372566223145,0.4060370922088623,0.5417540073394775,0.516454815864563,1.0,9
1,1.0,0.7941004037857056,0.6718577146530151,0.41334250569343567,0.7547947764396667,10
2,0.7941004037857056,1.0,0.7750450968742371,0.4221704304218292,0.7349016666412354,10
3,0.6718577146530151,0.7750450968742371,1.0,0.5685726404190063,0.6550880670547485,10
4,0.41334250569343567,0.4221704304218292,0.5685726404190063,1.0,0.4897860288619995,10
5,0.7547947764396667,0.7349016666412354,0.6550880670547485,0.4897860288619995,1.0,10
